height_to_cheek,cheek_to_jaw,forehead_to_cheek,jaw_to_forehead,height_to_jaw,height_to_forehead,chin_to_jaw,cheek_to_fj_mean,jaw_angle,label
1.289540,1.340573,0.491175,1.518704,1.728722,2.625417,0.409850,1.616652,138.219162,Oblong
1.233414,1.360727,0.502771,1.461700,1.678341,2.453231,0.424404,1.615936,144.110489,Oblong
1.263351,1.333553,0.483048,1.552383,1.684746,2.615371,0.414073,1.622159,133.987076,Oblong
1.262269,1.359536,0.523858,1.404091,1.716100,2.409562,0.429374,1.588053,142.710312,Oblong
1.245651,1.357349,0.520281,1.416024,1.690783,2.394188,0.434885,1.591076,144.770081,Oblong
1.264636,1.346121,0.497112,1.494382,1.702353,2.543965,0.417315,1.612919,139.426651,Oblong
1.254051,1.319162,0.524216,1.446078,1.654297,2.392243,0.430513,1.559731,142.421188,Oblong
1.135880,1.333605,0.544265,1.377723,1.514816,2.086997,0.440673,1.545461,133.121902,Oblong
1.254862,1.366858,0.515332,1.419678,1.715218,2.435056,0.426232,1.603930,143.892532,Oblong
1.303113,1.331878,0.508128,1.477620,1.735588,2.564539,0.412010,1.588629,140.018723,Oblong
1.275858,1.350757,0.498265,1.485808,1.723374,2.560603,0.415701,1.614739,141.237091,Oblong
1.235892,1.344725,0.519342,1.431901,1.661935,2.379726,0.435302,1.583545,141.530273,Oblong
1.269227,1.287059,0.504974,1.538625,1.633570,2.513452,0.422714,1.560137,136.639236,Oblong
1.292546,1.362613,0.512823,1.431067,1.761239,2.520452,0.428364,1.604226,143.351074,Oblong
1.220336,1.357624,0.511999,1.438639,1.656757,2.383476,0.438281,1.601820,145.511658,Oblong
1.265058,1.348890,0.541075,1.370143,1.706424,2.338045,0.429540,1.559545,143.293488,Oblong
1.352810,1.373206,0.495754,1.468919,1.857687,2.728792,0.418055,1.634017,142.928040,Oblong
1.131431,1.362267,0.517981,1.417177,1.541311,2.184311,0.409139,1.597379,139.358383,Oblong
1.275442,1.322820,0.485946,1.555649,1.687181,2.624660,0.418011,1.610427,133.009949,Oblong
1.246578,1.308748,0.500398,1.526962,1.631457,2.491173,0.407607,1.581669,133.459946,Oblong
1.259413,1.331345,0.518122,1.449699,1.676713,2.430728,0.419375,1.575744,138.885376,Oblong
1.319525,1.320653,0.498447,1.519119,1.742635,2.647269,0.418211,1.592803,139.026733,Oblong
1.244713,1.265345,0.474340,1.666102,1.574992,2.624097,0.427325,1.581481,132.651627,Oblong
1.259569,1.353756,0.508583,1.452437,1.705149,2.476622,0.415966,1.603503,138.395264,Oblong
1.295870,1.382751,0.528628,1.368064,1.791864,2.451385,0.425144,1.597669,142.473480,Oblong
1.249496,1.373967,0.540858,1.345676,1.716767,2.310212,0.415660,1.576445,147.076950,Oblong
1.247533,1.340731,0.506708,1.471977,1.672607,2.462038,0.417510,1.596718,134.114029,Oblong
1.283536,1.366964,0.499619,1.464213,1.754549,2.569032,0.422380,1.624475,139.963562,Oblong
1.245185,1.329292,0.530948,1.416863,1.655215,2.345213,0.432016,1.558570,140.392639,Oblong
1.262731,1.357294,0.497164,1.481925,1.713898,2.539868,0.423261,1.620846,140.664703,Oblong
1.213550,1.350846,0.501118,1.477251,1.639320,2.421686,0.408440,1.611091,139.154037,Oblong
1.275887,1.400177,0.523603,1.364003,1.786467,2.436746,0.416841,1.615772,143.525131,Oblong
1.196745,1.334208,0.475282,1.576975,1.596706,2.517965,0.399447,1.632932,134.575165,Oblong
1.228702,1.388770,0.533596,1.349449,1.706385,2.302680,0.417169,1.595332,139.207184,Oblong
1.259609,1.332811,0.497494,1.508147,1.678820,2.531908,0.421830,1.602836,139.499313,Oblong
1.245506,1.402962,0.508705,1.401162,1.747398,2.448387,0.421598,1.637355,142.023682,Oblong
1.322282,1.278880,0.475923,1.642986,1.691040,2.778355,0.431658,1.590006,133.588394,Oblong
1.221688,1.351764,0.536621,1.378578,1.651434,2.276631,0.429409,1.566913,143.841049,Oblong
1.208563,1.336950,0.499231,1.498248,1.615788,2.420852,0.419893,1.603590,139.811111,Oblong
1.169372,1.324357,0.503054,1.501000,1.548666,2.324548,0.425425,1.589652,129.276306,Oblong
1.245242,1.368164,0.500405,1.460629,1.703696,2.488467,0.419686,1.624284,138.003769,Oblong
